RANK  ,COMPANY NAME,PRIMARY INDUSTRY,GROWTH,CITY,PROV.,CEO NAME,
330 ,"NovaBay Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,242%,Emeryville,CA,Mark Sieczkarek,
331 ,Vena Solutions,Software,242%,Toronto,ON,Don Mal,
332 ,Evariant,Software,241%,Farmington,CT,Clay Ritchey,
333 ,NewsCred,Software,240%,New York,NY,Shafqat Islam,
334 ,"Depomed, Inc.",Biotechnology/pharmaceutical,240%,Newark,CA,Arthur Higgins,
335 ,symplr,Software,239%,Houston,TX,Rick Pleczko,
336 ,"Portola Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,237%,South San Francisco,CA,William Lis,
337 ,Buildium,Software,237%,Boston,MA,Michael Monteiro,
338 ,Splunk Inc.,Software,236%,San Francisco,CA,Doug Merritt,
339 ,CENX,Software,236%,Ottawa,ON,Edward Kennedy,
340 ,"Moda Operandi, Inc.",Digital content/media/entertainment,235%,New York,NY,Deborah Nicodemus,
341 ,Limeade,Software,235%,Bellevue,WA,Henry Albrecht,
342 ,Wahoo Fitness,Electronic devices/hardware,235%,Atlanta,GA,Chip Hawkins,
343 ,Q4 Inc.,Software,233%,Toronto,ON,Darrell Heaps,
344 ,AOI,Communications/networking,232%,Sugar Land,TX,Dr. Thompson Lin,
345 ,Resolver Inc.,Software,232%,Toronto,ON,Will Anderson,
346 ,Rubicon Project,Software,232%,Los Angeles,CA,Frank Addante,
347 ,"GTT Communications, Inc.",Communications/networking,232%,McLean,VA,Rick Calder,
348 ,Xplore Technologies,Electronic devices/hardware,230%,Austin,TX,Tom Wilkinson,
349 ,Vendasta,Software,229%,Saskatoon,SK,Brendan King,
350 ,"ForeScout Technologies, Inc.",Software,228%,San Jose,CA,Michael DeCesare,
351 ,"ServiceNow, Inc.",Software,227%,Santa Clara,CA,John Donahoe,
352 ,"Semler Scientific, Inc.",Medical devices,227%,San Jose,CA,Douglas Murphy Chutorian,
353 ,3xLOGIC,Software,227%,Westminster,CO,Matthew M. Kushner,
354 ,InRhythm,Software,226%,New York,NY,Gunjan Doshi,
355 ,Simeio Solutions,Software,226%,Atlanta,GA,Hemen Vimadalal,
356 ,SunLink,Energy tech,226%,Mill Valley,CA,Michael Maulick,
357 ,BlackLine,Software,225%,Los Angeles,CA,Therese Tucker,
358 ,ScribbleLive,Software,225%,Toronto,ON,Vince Mifsud,
359 ,AmpliPhi Biosciences Corporation,Biotechnology/pharmaceutical,225%,San Diego,CA,Dr. Paul Grint,
360 ,Tuangru,Software,225%,Vancouver,BC,Jad Jebara,
361 ,MaxLinear,Semiconductor,224%,Carlsbad,CA,"Kishore Seendripu, Ph.D.",
362 ,"Soligenix, Inc.",Biotechnology/pharmaceutical,224%,Princeton,NJ,"Christopher J. Schaber, Ph.D.",
363 ,Zipwhip,Software,224%,Seattle,WA,John Lauer,
364 ,"Pacira Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,223%,Parsippany,NJ,David Stack,
365 ,Plug Power,Energy tech,223%,Latham,NY,Andy Marsh,
366 ,Luna Innovations Incorporated,Communications/networking,223%,Roanoke,VA,My E. Chung,
367 ,Cireson,Software,223%,San Diego,CA,Shaun Ericson; Paul Sutton,
368 ,Precision Technologies Corp,Software,220%,Monmouth Junction,NJ,Deepali Khadakban,
369 ,"Wound Management
Technologies, Inc.",Medical devices,219%,Fort Worth,TX,J. Michael Carmena,
370 ,Xevo Inc.,Software,219%,Bellevue,WA,Dan Gittleman,
371 ,"Corindus Vascular Robotics, Inc.",Medical devices,217%,Waltham,MA,Mark Toland,
372 ,Insum Solutions,Software,217%,Montréal,QC,Michel St-Amour,
373 ,Veeva Systems Inc.,Software,216%,Pleasanton,CA,Peter Gassner,
374 ,Jive Communications,Communications/networking,215%,Orem,UT,John Pope,
375 ,"Cellular Biomedicine Group, Inc.",Biotechnology/pharmaceutical,215%,Cupertino,CA,Tony Liu,
376 ,OnShift,Software,214%,Cleveland,OH,Mark Woodka,
377 ,Appnovation,Software,214%,Vancouver,BC,Arnold Leung,
378 ,"Arista Networks, Inc.",Communications/networking,213%,Santa Clara,CA,Jayshree Ullal,
379 ,SOTI Inc.,Software,213%,Mississauga,ON,Carl Rodrigues,
380 ,Incyte Corporation,Biotechnology/pharmaceutical,212%,Wilmington,DE,Hervé Hoppenot,
381 ,Accurate Background,Software,211%,Irvine,CA,Dave Dickerson,
382 ,"Flexpoint Sensor Systems, Inc.",Electronic devices/hardware,210%,Draper,UT,Clark M. Mower,
383 ,"Square, Inc.",Software,209%,San Francisco,CA,Jack Dorsey,
384 ,"Skytap, Inc.",Software,209%,Seattle,WA,Thor Culverhouse,
385 ,Momenta Pharmaceuticals,Biotechnology/pharmaceutical,209%,Cambridge,MA,Craig A. Wheeler,
386 ,Greenphire,Software,209%,King of Prussia,PA,Jim Murphy,
387 ,CadmiumCD,Software,208%,Forest Hill,MD,Michelle Wyatt,
388 ,MediaAlpha,Software,207%,Redmond,WA,Steve Yi,
389 ,"Yelp, Inc.",Digital content/media/entertainment,206%,San Francisco,CA,Jeremy Stoppelman,
390 ,Paycom,Software,206%,Oklahoma City,OK,Chad Richison,
391 ,"AnaptysBio, Inc.",Biotechnology/pharmaceutical,204%,San Diego,CA,Hamza Suria,
392 ,Alteryx,Software,204%,Irvine,CA,Dean Stoecker,
393 ,Oxagile,Software,203%,New York,NY,Dmitry Karpovich,
394 ,AcuityAds Inc.,Software,203%,Toronto,ON,Tal Hayek,
395 ,SmartDrive Systems,Software,203%,San Diego,CA,Steve Mitgang,
396 ,Adaptive Insights,Software,202%,Palo Alto,CA,Tom Bogan,
397 ,"Merrimack Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,202%,Cambridge,MA,Robert J. Mulroy,
398 ,Zuora,Software,202%,San Mateo,CA,Tien Tzuo,
399 ,Payoneer,Software,200%,New York,NY,Scott Galit,
400 ,WorkMarket,Software,200%,New York,NY,Stephen DeWitt,
401 ,"Aoxing Pharmaceutical
Company, Inc.",Biotechnology/pharmaceutical,199%,Foster City,CA,Zhenjiang Yue,
402 ,Paylocity Holding Corporation,Software,198%,Arlington Heights,IL,Steve Beauchamp,
403 ,Beesion,Software,196%,Fort Lauderdale,FL,Omar Merchan,
404 ,YellowHammer,Digital content/media/entertainment,196%,New York,NY,Joseph Hirsch,
405 ,"Penumbra, Inc.",Medical devices,196%,Alameda,CA,Adam Elsesser,
406 ,FlowPlay,Digital content/media/entertainment,196%,Seattle,WA,Derrick Morton,
407 ,"Intrinsyc Technologies
Corporation",Electronic devices/hardware,196%,Vancouver,BC,Tracy Rees,
408 ,Valant,Software,195%,Seattle,WA,Paul Cook,
409 ,Riva CRM Integration,Software,195%,Edmonton,AB,Aldo Zanoni,
410 ,Simply Measured,Software,195%,Seattle,WA,Michael Wasyluka,
411 ,Roblox,Software,195%,San Mateo,CA,David Baszucki,
412 ,Perfecto,Software,194%,Burlington,MA,Eran Yaniv,
413 ,"SMS Assist, L.L.C.",Software,192%,Chicago,IL,Taylor Rhodes,
414 ,DiscoverOrg,Software,191%,Vancouver,WA,Henry Schuck,
415 ,Redfin,Software,191%,Seattle,WA,Glenn Kelman,
416 ,"Tandem Diabetes Care, Inc.",Medical devices,190%,San Diego,CA,Kim Blickentstaff,
417 ,Madison Logic Inc,Software,190%,New York,NY,Thomas P. O’Regan,
418 ,"Net Element, Inc.",Software,190%,North Miami Beach,FL,Oleg Firer,
419 ,Kinova Inc.,Electronic devices/hardware,188%,Boisbriand,QC,Charles Deguire,
420 ,"Smartling, Inc.",Software,187%,New York,NY,Jack Welde,
421 ,Iradimed Corporation,Medical devices,187%,Winter Springs,FL,Roger Susi,
422 ,Applause,Software,186%,Framingham,MA,Doron Reuveni,
423 ,Clio,Software,186%,Burnaby,BC,Jack Newton,
424 ,"MINDBODY, Inc.",Software,186%,San Luis Obispo,CA,Rick Stollmeyer,
425 ,Solido Design Automation,Software,185%,Saskatoon,SK,Amit Gupta,
426 ,"Rigel Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,185%,South San Francisco,CA,Raul R. Rodriguez,
427 ,KrolLDiscovery,Software,185%,McLean,VA,Christopher Weiler,
428 ,"US Tech Solutions, Inc.",Software,184%,Jersey City,NJ,Manoj Agarwal,
429 ,Mediamorph,Software,183%,New York,NY,Rob Gardos,
430 ,EventMobi,Software,183%,Toronto,ON,Bob Vaez,
431 ,EcoSense Lighting,Energy tech,182%,Los Angeles,CA,Mark Reynoso,
432 ,Ellie Mae,Software,180%,Pleasanton,CA,Jonathan Corr,
433 ,Parkmobile,Software,179%,Atlanta,GA,Jon Ziglar,
434 ,SailPoint,Software,178%,Austin,TX,Mark McClain,
435 ,Index Exchange,Digital content/media/entertainment,177%,Toronto,ON,Andrew Casale,
436 ,Uberflip,Software,176%,Toronto,ON,Yoav Schwartz,
437 ,NanoString Technologies,Medical devices,175%,Seattle,WA,Brad Gray,
438 ,"Enanta Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,175%,Watertown,MA,"Jay R. Luly, Ph.D.",
439 ,"Proofpoint, Inc.",Software,172%,Sunnyvale,CA,Gary Steele,
440 ,Xtant Medical,Medical devices,172%,Belgrade,MT,Dan Goldberger,
441 ,SIGA Technologies,Biotechnology/pharmaceutical,172%,New York,NY,Phillip L. Gomez,
442 ,"Gilead Sciences, Inc.",Biotechnology/pharmaceutical,171%,Foster City,CA,John F. Milligan,
443 ,"Qorvo, Inc.",Semiconductor,171%,Greensboro,NC,Robert Bruggeworth,
444 ,IGLOO Software,Software,171%,Kitchener,ON,Dan Latendre,
445 ,Opengear,Communications/networking,169%,Piscataway,NJ,Gary Marks,
446 ,EverQuote Inc.,Software,169%,Cambridge,MA,Seth Birnbaum,
447 ,Inogen,Medical devices,169%,Goleta,CA,Scott Wilkinson,
448 ,"Cypress Semiconductor
Corporation",Semiconductor,169%,San Jose,CA,Hassane El-Khoury,
449 ,LoanLogics,Software,168%,Trevose,PA,Brian K. Fitzpatrick,
450 ,Datalot,Communications/networking,167%,Brooklyn,NY,Josh Renick,
451 ,Klick Inc.,Digital content/media/entertainment,167%,Toronto,ON,Leerom Segal,
452 ,Convercent,Software,167%,Denver,CO,Patrick Quinlan,
453 ,"ValuTrac Software, Inc.",Software,166%,Flower Mound,TX,Clint Cornett,
454 ,Genomind Inc.,Biotechnology/pharmaceutical,166%,King of Prussia,PA,Michael Koffler,
455 ,Apollo Video Technology,Electronic devices/hardware,164%,Bothell,WA,Rodell Notbohm,
455 ,Q2,Software,164%,Austin,TX,Matt Flake,
456 ,ChromaDex Corp.,Biotechnology/pharmaceutical,164%,Irvine,CA,Frank L. Jaksch,
457 ,"Inovio Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,163%,Plymouth Meeting,PA,Joseph Kim,
458 ,PulsePoint,Digital content/media/entertainment,161%,New York,NY,Sloan Gaon,
459 ,"Ambarella, Inc.",Semiconductor,161%,Santa Clara,CA,Fermi Wang,
460 ,Workfront,Software,161%,Lehi,UT,Alex Shootman,
461 ,etouches,Software,160%,Norwalk,CT,Oni Chukwu,
462 ,"Sucampo Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,157%,Rockville,MD,Peter Greenleaf,
463 ,"Everbridge, Inc.",Communications/networking,156%,Burlington,MA,Jaime Ellertson,
464 ,ownerIQ,Software,156%,Boston,MA,Jay Habegger,
465 ,"Second Sight Medical
Products Inc.",Medical devices,155%,Sylmar,CA,Will McGuire,
466 ,Indellient Inc.,Biotechnology/pharmaceutical,155%,Oakville,ON,Adam Caromicoli,
467 ,Nuxeo,Software,154%,Brooklyn,NY,Eric Barroca,
468 ,Digirad Corporation,Medical devices,154%,Suwanee,GA,Matt Molchan,
469 ,"Certent, Inc.",Software,154%,Pleasanton,CA,Michael Boese,
470 ,"Stellar Biotechnologies, Inc.",Biotechnology/pharmaceutical,154%,Port Hueneme,CA,Frank R. Oakes,
471 ,Silverline,Software,154%,New York,NY,Gireesh Sonnad,
472 ,Antares Pharma,Biotechnology/pharmaceutical,153%,Ewing,NJ,Robert F. Apple,
473 ,Eddyfi Technologies,Electronic devices/hardware,153%,Quebec,QC,Martin Theriault,
474 ,Bankai Group,Communications/networking,152%,Kew Gardens,NY,Bankim Brahmbhatt,
475 ,Rise Interactive,Digital content/media/entertainment,152%,Chicago,IL,Jon Morris,
476 ,"Delcath Systems, Inc.",Biotechnology/pharmaceutical,152%,New York,NY,Jennifer Simpson,
477 ,ORBCOMM,Communications/networking,152%,Rochelle Park,NJ,Marc Eisenberg,
478 ,Act-On Software,Software,152%,Portland,OR,Andy MacMillan,
479 ,Synaptics Incorporated,Semiconductor,151%,San Jose,CA,Rick Bergman,
480 ,"DZone, Inc.",Digital content/media/entertainment,151%,Cary,NC,Rick Ross,
481 ,Fusion Optix,Electronic devices/hardware,150%,Woburn,MA,Terence Yeo,
482 ,Semcasting,Software,150%,North Andover,MA,Ray Kingman,
483 ,Alert Logic,Software,147%,Houston,TX,Gray Hall,
484 ,Archer,Software,147%,Berwyn,PA,Bryan Dori,
485 ,Geotab,Software,146%,Oakville,ON,Neil Cawse,
486 ,Softpath System LLC,Software,146%,Norcross,GA,Ravi Chander,
487 ,Storyblocks,Digital content/media/entertainment,145%,Arlington,VA,TJ Leonard,
488 ,Sailthru,Software,145%,New York,NY,Neil Lustig,
489 ,FactorTrust,Software,144%,Roswell,GA,Greg Rable,
490 ,Agreement Express,Software,144%,Vancouver,BC,Mike Gardner,
491 ,"New Media Investment Group, Inc.",Communications/networking,143%,New York,NY,Michael E. Reed,
492 ,Panopto,Software,142%,Seattle,WA,Eric Burns,
493 ,Optoro,Software,141%,Washington,DC,Tobin Moore,
494 ,Proliant,Software,141%,Atlanta,GA,Kevin Clayton,
495 ,Netwrix Corporation,Software,140%,Irvine,CA,Michael Fimin,
496 ,Jamf,Software,139%,Minneapolis,MN,Dean Hager,
497 ,YapStone,Software,139%,Walnut Creek,CA,Tom Villante,
498 ,"OrthoAccel Technologies, Inc.",Medical devices,137%,Bellaire,TX,David Josza,
499 ,"RingCentral, Inc.",Software,137%,Belmont,CA,Vlad Shmunis,
500 ,"Ionis Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,135%,Carlsbad,CA,Stanley T. Crooke,
